DOG;TOOTH_NUMBER;MAX_MAND;SIDE;POSITION;DEVELOPM_STAGE;LOWER;UPPER;CENS;SEX;BREED;BREED_SIZE;SKULL_TYPE;BREED_CLADE
1;201;MAX;L;1;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;201;MAX;L;1;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;201;MAX;L;1;3;99.0;101.0;3;F;Akita Inu;Large;Meso;A
1;101;MAX;R;1;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;101;MAX;R;1;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;101;MAX;R;1;3;99.0;101.0;3;F;Akita Inu;Large;Meso;A
1;301;MAND;L;1;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;301;MAND;L;1;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;301;MAND;L;1;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;401;MAND;R;1;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;401;MAND;R;1;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;401;MAND;R;1;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;202;MAX;L;2;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;202;MAX;L;2;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;202;MAX;L;2;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;102;MAX;R;2;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;102;MAX;R;2;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;102;MAX;R;2;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;302;MAND;L;2;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;302;MAND;L;2;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;302;MAND;L;2;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;402;MAND;R;2;1;91.0;93.0;3;F;Akita Inu;Large;Meso;A
1;402;MAND;R;2;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;402;MAND;R;2;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;203;MAX;L;3;1;98.0;107.0;3;F;Akita Inu;Large;Meso;A
1;203;MAX;L;3;2;100.0;107.0;3;F;Akita Inu;Large;Meso;A
1;203;MAX;L;3;3;107.0;114.0;3;F;Akita Inu;Large;Meso;A
1;103;MAX;R;3;1;98.0;107.0;3;F;Akita Inu;Large;Meso;A
1;103;MAX;R;3;2;100.0;107.0;3;F;Akita Inu;Large;Meso;A
1;103;MAX;R;3;3;107.0;114.0;3;F;Akita Inu;Large;Meso;A
1;303;MAND;L;3;1;98.0;107.0;3;F;Akita Inu;Large;Meso;A
1;303;MAND;L;3;2;100.0;107.0;3;F;Akita Inu;Large;Meso;A
1;303;MAND;L;3;3;107.0;114.0;3;F;Akita Inu;Large;Meso;A
1;403;MAND;R;3;1;98.0;107.0;3;F;Akita Inu;Large;Meso;A
1;403;MAND;R;3;2;100.0;107.0;3;F;Akita Inu;Large;Meso;A
1;403;MAND;R;3;3;107.0;114.0;3;F;Akita Inu;Large;Meso;A
1;204;MAX;L;4;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;204;MAX;L;4;2;121.0;121.0;0;F;Akita Inu;Large;Meso;A
1;204;MAX;L;4;3;131.0;135.0;3;F;Akita Inu;Large;Meso;A
1;104;MAX;R;4;1;119.0;121.0;3;F;Akita Inu;Large;Meso;A
1;104;MAX;R;4;2;121.0;121.0;0;F;Akita Inu;Large;Meso;A
1;104;MAX;R;4;3;131.0;135.0;3;F;Akita Inu;Large;Meso;A
1;304;MAND;L;4;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;304;MAND;L;4;2;122.0;;4;F;Akita Inu;Large;Meso;A
1;304;MAND;L;4;3;136.0;;4;F;Akita Inu;Large;Meso;A
1;404;MAND;R;4;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;404;MAND;R;4;2;122.0;;4;F;Akita Inu;Large;Meso;A
1;404;MAND;R;4;3;136.0;;4;F;Akita Inu;Large;Meso;A
1;205;MAX;L;5;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;205;MAX;L;5;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;105;MAX;R;5;2;93.0;93.0;0;F;Akita Inu;Large;Meso;A
1;105;MAX;R;5;3;98.0;100.0;3;F;Akita Inu;Large;Meso;A
1;305;MAND;L;5;2;114.0;121.0;3;F;Akita Inu;Large;Meso;A
1;305;MAND;L;5;3;121.0;128.0;3;F;Akita Inu;Large;Meso;A
1;405;MAND;R;5;2;114.0;121.0;3;F;Akita Inu;Large;Meso;A
1;405;MAND;R;5;3;121.0;128.0;3;F;Akita Inu;Large;Meso;A
1;206;MAX;L;6;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;206;MAX;L;6;2;122.0;;4;F;Akita Inu;Large;Meso;A
1;206;MAX;L;6;3;129.0;;4;F;Akita Inu;Large;Meso;A
1;106;MAX;R;6;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;106;MAX;R;6;2;122.0;;4;F;Akita Inu;Large;Meso;A
1;106;MAX;R;6;3;129.0;;4;F;Akita Inu;Large;Meso;A
1;306;MAND;L;6;1;;;1;F;Akita Inu;Large;Meso;A
1;306;MAND;L;6;2;;;1;F;Akita Inu;Large;Meso;A
1;306;MAND;L;6;3;;;1;F;Akita Inu;Large;Meso;A
1;406;MAND;R;6;1;;;1;F;Akita Inu;Large;Meso;A
1;406;MAND;R;6;2;;;1;F;Akita Inu;Large;Meso;A
1;406;MAND;R;6;3;;;1;F;Akita Inu;Large;Meso;A
1;207;MAX;L;7;1;121.0;121.0;0;F;Akita Inu;Large;Meso;A
1;207;MAX;L;7;2;122.0;124.0;3;F;Akita Inu;Large;Meso;A
1;207;MAX;L;7;3;132.0;133.0;3;F;Akita Inu;Large;Meso;A
1;107;MAX;R;7;1;122.0;;4;F;Akita Inu;Large;Meso;A
1;107;MAX;R;7;2;122.0;;4;F;Akita Inu;Large;Meso;A
1;107;MAX;R;7;3;132.0;;4;F;Akita Inu;Large;Meso;A
1;307;MAND;L;7;1;;;1;F;Akita Inu;Large;Meso;A
1;307;MAND;L;7;2;;;1;F;Akita Inu;Large;Meso;A
